,habitat_id,habitat_code,habitat_priority,habitat_np,habitat_cover,habitat_caves,habitat_data_quality,habitat_representativity,habitat_relative_surface,habitat_conservation,habitat_global,site_code,habitat_cover_ha,year,id_reporte
193,11558,8210,0,0,2.47,,M,A,C,A,A,ES0000016,389.75,2023,135
194,11543,6430,0,0,0.1,,M,A,C,A,A,ES0000016,15.44,2023,135
195,11536,6170,0,0,18.29,,M,A,C,A,A,ES0000016,2889.12,2023,135
196,11565,8340,0,0,1.42,,M,A,A,A,A,ES0000016,224.06,2023,135
197,11552,7220,0,0,0.01,,M,A,C,A,A,ES0000016,1.99,2023,135
198,11537,6210,0,0,4.82,,M,B,C,A,A,ES0000016,761.82,2023,135
199,11571,9180,0,0,1.47,,M,A,B,A,A,ES0000016,231.47,2023,135
200,11562,8310,0,0,,27.0,M,A,A,A,A,ES0000016,,2023,135
201,11588,9430,0,0,1.26,,M,A,C,A,A,ES0000016,199.43,2023,135
202,11523,5130,0,0,0.002,,G,A,B,A,A,ES0000018,65.371,2023,135
203,11574,91E0,0,0,0.053,,G,B,C,B,B,ES0000018,46.319,2023,135
204,11522,5120,0,0,0.337,,G,A,C,A,C,ES0000018,143.335,2023,135
205,11560,8230,0,0,0.043,,G,A,C,B,A,ES0000018,20.535,2023,135
206,11524,5210,0,0,0.209,,G,B,C,B,C,ES0000018,119.32,2023,135
207,11544,6510,0,0,0.362,,G,A,C,A,C,ES0000018,203.837,2023,135
208,11532,6110,0,0,0.002,,P,A,C,A,A,ES0000018,0.01,2023,135
209,11537,6210,0,0,6.346,,G,A,B,A,A,ES0000018,2825.672,2023,135
210,11590,9530,0,0,1.075,,G,C,C,C,C,ES0000018,629.362,2023,135
211,11562,8310,0,0,0.002,,P,A,C,A,B,ES0000018,0.01,2023,135
212,11541,6410,0,0,0.004,,G,C,C,B,C,ES0000018,1.948,2023,135
213,11536,6170,0,0,5.725,,G,A,B,A,B,ES0000018,3499.845,2023,135
214,11520,4090,0,0,0.07,,G,A,C,A,C,ES0000018,32.743,2023,135
215,11507,3240,0,0,0.058,,G,A,C,A,B,ES0000018,35.831,2023,135
