species_id,species_group,species_code,species_name,species_sensitive,species_np,species_type,species_size_min,species_size_max,species_unit,species_category,species_data_quality,species_population,species_conservation,species_isolation,species_global,site_code,year,id_reporte,species_id_type,species_id_unit
11715,I,1044,Coenagrion mercuriale,,,p,1.0,1.0,grids10x10,P,P,C,,C,,ES5120017,2023,135,201,47.0
14084,B,A885,Sternula albifrons,,,c,,,,V,DD,D,,,,ES0000189,2023,135,202,
33032,B,A853,Ardenna grisea,,,c,,,,P,DD,D,,,,ES0000500,2023,135,202,
11738,B,A152,Lymnocryptes minimus,,,w,,,,P,DD,C,B,B,B,ES6160002,2023,135,63,
10750,B,A246,Lullula arborea,,,p,,,,P,DD,D,,,,ES0000050,2023,135,201,
33010,I,1075,Graellsia isabellae,,,p,,,i,P,DD,C,B,B,C,ES2420036,2023,135,201,36.0
12041,B,A029,Ardea purpurea,,,c,,,,P,DD,D,,,,ES0000046,2023,135,202,
10866,M,1307,Myotis blythii,,,p,1.0,1.0,i,P,P,C,C,B,B,ES6120021,2023,135,201,36.0
10755,M,1354,Ursus arctos,,,c,,1.0,i,,G,D,,,,ES2410040,2023,135,202,36.0
12371,B,A661,Tetrao urogallus aquitanicus,,,p,9.0,9.0,males,V,G,C,B,B,B,ES0000281,2023,135,201,19.0
24333,B,A415,Perdix perdix hispaniensis,,,p,100.0,,i,,M,C,B,B,B,ES1200001,2023,135,201,36.0
11442,B,A137,Charadrius hiaticula,,,c,,,,C,DD,D,,,,ES0000084,2023,135,202,
11585,R,1221,Mauremys leprosa,,,p,,,,P,DD,D,C,C,C,ES4310036,2023,135,201,
11339,B,A231,Coracias garrulus,,,c,,,i,V,DD,D,,,,ES0000303,2023,135,202,36.0
11715,I,1044,Coenagrion mercuriale,,,p,1.0,1.0,grids10x10,P,P,C,,C,,ES5140003,2023,135,201,47.0
11094,B,A113,Coturnix coturnix,,,r,4.0,7.0,p,,M,C,,C,,ES5120024,2023,135,62,34.0
24333,B,A415,Perdix perdix hispaniensis,,,p,283.0,283.0,p,R,M,B,C,B,A,ES4140011,2023,135,201,34.0
11206,M,1321,Myotis emarginatus,,,p,24.0,70.0,i,R,G,C,C,C,C,ES2300006,2023,135,201,36.0
