,idtaxon,idestadoconservacion,estadoconservacion,anio,idcategoria,categoriaconservacion,idcriterio,criteriomedidaconservacion,descripcion,criterios,idautoridad,autoridad,idaplicaa,aplicaa,iddataset,fechaalta,fechabaja,idvigente,vigencia,observaciones,idnombre
17702,29420,,,2008,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17703,29420,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17704,29420,,,2020,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17705,29421,,,2008,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17706,29421,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17707,29421,,,2020,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17708,29422,,,2008,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17709,29422,,,2015,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,,,1.0,Vigente,,
17710,29422,,,2020,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17711,29423,,,2008,11,EN (En peligro),,,,A2bcd+4bcd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17712,29423,,,2016,11,EN (En peligro),,,,A2bcd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17713,29423,,,2020,11,EN (En peligro),,,,A2bcd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17714,29425,,,1996,19,VU (Vulnerable),,,,A1cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17715,29426,,,1996,19,VU (Vulnerable),,,,A1cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17716,29427,,,2009,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17717,29427,,,2010,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17718,29430,,,2008,11,EN (En peligro),,,,"B1ab(iii,v)",1,UICN,1,Mundial,119,,,1.0,Vigente,,
17719,29430,,,2009,11,EN (En peligro),,,,"B1ab(iii,v)",1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17720,29432,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17721,29433,,,2018,19,VU (Vulnerable),,,,A4acde,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17722,29433,,,2019,19,VU (Vulnerable),,,,A4acde,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17723,29434,,,2008,11,EN (En peligro),,,,A2cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17724,29434,,,2017,11,EN (En peligro),,,,A2cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17725,29434,,,2020,11,EN (En peligro),,,,A2cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17726,29435,,,2008,19,VU (Vulnerable),,,,A2cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17727,29435,,,2016,19,VU (Vulnerable),,,,A2cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17728,29435,,,2019,19,VU (Vulnerable),,,,A2cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17729,29436,,,2018,13,CR (En peligro crítico),,,,A2cd+4cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17730,29436,,,2019,13,CR (En peligro crítico),,,,A2cd+4cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17731,29437,,,2008,13,CR (En peligro crítico),,,,"B2ab(iii,v)",1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17732,29437,,,2018,11,EN (En peligro),,,,"B1ab(ii,iii,v)+2ab(ii,iii,v)",1,UICN,1,Mundial,119,,,1.0,Vigente,,
17733,29437,,,2020,11,EN (En peligro),,,,"B1ab(ii,iii,v)+2ab(ii,iii,v)",1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17734,29438,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17735,29438,,,2017,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17736,29439,,,2016,11,EN (En peligro),,,,B1ab(iii),1,UICN,1,Mundial,119,,,1.0,Vigente,,
17737,29439,,,2017,11,EN (En peligro),,,,B1ab(iii),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17738,29441,,,2009,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17739,29441,,,2010,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17740,29441,,,2019,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17741,29442,,,2000,13,CR (En peligro crítico),,,,A1d+2d,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17742,29442,,,2018,13,CR (En peligro crítico),,,,"A2bcd+4bcd; B2ab(i,ii,iii,iv,v) ; D",1,UICN,1,Mundial,119,,,1.0,Vigente,,
17743,29442,,,2020,13,CR (En peligro crítico),,,,"A2bcd+4bcd; B2ab(i,ii,iii,iv,v) ; D",1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17744,29443,,,2000,11,EN (En peligro),,,,A1cd+2cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17745,29443,,,2018,13,CR (En peligro crítico),,,,A2cd+4cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17746,29443,,,2021,13,CR (En peligro crítico),,,,A2cd+4cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17747,29444,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17748,29444,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17749,29446,,,2007,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17750,29446,,,2010,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17751,29447,,,2023,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2024-01-18,,,,,
