ID_Ruta,CUADRICULA
2398,30SVH33
2399,30SVF59
2399,30SVG50
2404,30SVG46
2404,30SVG56
2404,30SVG57
2408,30SWG09
2408,30SVG99
2409,30SUG22
2409,30SUG32
2410,29SPB43
2410,29SPB44
2410,29SPB34
2414,30SWF09
2414,30SVF99
2414,30SVG90
2415,30SUF65
2415,30SUF56
2415,30SUF66
2416,30SVF58
2416,30SVF68
2416,30SVF59
2416,30SVF69
2419,30SUH40
2419,30SUH41
2419,30SUH31
2419,30SUH32
2422,29SPB34
2422,29SPB35
2423,30SUF98
2423,30SVF08
2425,30SWG08
2425,30SVG98
2425,30SVG99
2428,30SUF35
2432,30SUF48
2432,30SUF49
2432,30SUF38
2433,30SWH22
2433,30SWH33
2433,30SWH23
2436,30SUF26
2440,30SUG42
2440,30SUG32
2444,30SUG57
2444,30SUG67
2444,30SUG48
2444,30SUG58
2444,30SUG68
2444,30SUG49
2445,29SQB49
2445,29SQC40
2448,30SUF48
2448,30SUF38
2449,30SUH80
2449,30SUH81
2449,30SUH70
2449,30SUH91
2451,30SWF29
2451,30SWF19
2454,30SWH33
2455,30SUF24
2455,30SUF34
2455,30SUF25
2458,30SUF24
2458,30SUF34
2458,30SUF25
2459,30SVF78
2463,30SUF76
2463,30SUF66
2465,29SQB49
2465,29SQC40
2469,30SUF98
2469,30SVF08
2470,30SVF98
2471,30SUF03
2471,30SUF13
2471,30SUF23
2471,30SUF24
2472,30SWH20
2472,30SWH21
2475,30SVF78
2475,30SVF88
2476,30SWF78
2476,30SWF68
2476,30SWF79
2476,30SWF69
2480,30SWF79
2480,30SWG70
2480,30SWG71
2480,30SWG61
2484,30SVF58
2484,30SVF59
2488,30SUG28
2488,30SUG29
2488,30SUG39
2489,30SWF29
2489,30SWF19
2489,30SWF09
2491,30STF94
2491,30STF95
2498,30SWH32
2498,30SWH33
2499,30SWG08
2499,30SWG19
2499,30SWG09
2500,30SUH42
2500,30SUH32
2502,30SWF59
2503,30SWH11
2503,30SWH01
2504,30SUG71
2504,30SUG81
2506,30SUG41
2506,30SUG51
2510,30SVF98
2510,30SWF09
2510,30SVF99
2512,30SUG32
2516,30SWG19
2516,30SWH20
2516,30SWH10
2518,30SUG87
2518,30SUG97
2518,30SUG67
2518,30SUG77
2525,30STF95
2525,30STF96
2546,30SUF88
2546,30SUF98
2546,30SUF89
2546,30SUF99
2547,30SUF47
2547,30SUF48
2548,30SUF89
2548,30SUG80
2551,30SVH41
2554,29SPB99
2554,29SPB89
2554,29SPC80
2569,30SWF17
2569,30SWF18
2570,30SUG83
2570,30SUG84
2570,30SUG74
2570,30SUG75
2571,30STF94
2571,30SUF04
2574,30STF94
2574,30STF95
2597,30SWF08
2597,30SWF09
