CUADRICULA,Nombre
30TVM89,Bufo bufo
30TVM99,Bufo bufo
30TWM19,Bufo bufo
30TWM29,Bufo bufo
30TWM49,Bufo bufo
30TWM69,Bufo bufo
30TWM79,Bufo bufo
30TWM89,Bufo bufo
30TWM99,Bufo bufo
30TXM09,Bufo bufo
30TXM19,Bufo bufo
30TXM29,Bufo bufo
30TXM39,Bufo bufo
30TXM49,Bufo bufo
30TXM59,Bufo bufo
30TXM69,Bufo bufo
30TXM79,Bufo bufo
30TXM89,Bufo bufo
30TYM19,Bufo bufo
30TYM39,Bufo bufo
30TYM49,Bufo bufo
29TPG18,Bufo bufo
31TCG88,Bufo bufo
31TEG27,Bufo bufo
29TPG28,Bufo bufo
31TCG78,Bufo bufo
31TEG17,Bufo bufo
29TPG38,Bufo bufo
31TEG07,Bufo bufo
29TPG48,Bufo bufo
31TDG97,Bufo bufo
29TPG58,Bufo bufo
31TCG48,Bufo bufo
29TNG17,Bufo bufo
31TDG87,Bufo bufo
29TPG68,Bufo bufo
31TCG38,Bufo bufo
29TNG27,Bufo bufo
31TDG77,Bufo bufo
29TPG78,Bufo bufo
31TCG28,Bufo bufo
29TNG37,Bufo bufo
31TDG67,Bufo bufo
29TPG88,Bufo bufo
31TDG57,Bufo bufo
31TDG47,Bufo bufo
29TQG08,Bufo bufo
29TNG67,Bufo bufo
31TDG37,Bufo bufo
29TQG18,Bufo bufo
29TNG77,Bufo bufo
31TDG27,Bufo bufo
29TQG28,Bufo bufo
29TNG87,Bufo bufo
31TDG17,Bufo bufo
29TQG38,Bufo bufo
29TNG97,Bufo bufo
31TDG07,Bufo bufo
29TQG48,Bufo bufo
29TPG07,Bufo bufo
31TCG97,Bufo bufo
30TTM68,Bufo bufo
30TTM98,Bufo bufo
30TUM18,Bufo bufo
30TUM28,Bufo bufo
30TUM38,Bufo bufo
30TUM68,Bufo bufo
30TVM08,Bufo bufo
30TVM28,Bufo bufo
30TVM38,Bufo bufo
30TVM48,Bufo bufo
30TVM58,Bufo bufo
30TVM68,Bufo bufo
30TVM78,Bufo bufo
30TVM88,Bufo bufo
30TVM98,Bufo bufo
30TWM08,Bufo bufo
30TWM18,Bufo bufo
30TWM28,Bufo bufo
30TWM48,Bufo bufo
30TWM88,Bufo bufo
30TWM98,Bufo bufo
30TXM08,Bufo bufo
30TXM18,Bufo bufo
30TXM28,Bufo bufo
30TXM38,Bufo bufo
30TXM48,Bufo bufo
30TXM58,Bufo bufo
30TXM68,Bufo bufo
30TXM78,Bufo bufo
30TXM88,Bufo bufo
30TXM98,Bufo bufo
30TYM08,Bufo bufo
30TYM18,Bufo bufo
30TYM28,Bufo bufo
30TYM38,Bufo bufo
30TYM48,Bufo bufo
29TPG17,Bufo bufo
31TCG87,Bufo bufo
29TPG27,Bufo bufo
31TCG77,Bufo bufo
31TEG16,Bufo bufo
29TPG37,Bufo bufo
31TCG67,Bufo bufo
31TEG06,Bufo bufo
29TPG47,Bufo bufo
31TDG96,Bufo bufo
