,other_species_id,other_species_group,other_species_code,other_species_name,other_species_sensitive,other_species_np,other_species_size_min,other_species_size_max,other_species_unit,other_species_category,other_species_motivation,site_code,year,id_reporte,other_species_type,other_species_id_type,other_species_id_unit
328,2789,P,,Brassica repanda subsp. gypsicola Gómez-Campo,,,,,,P,"B,D",ES4240019,2023,135,np,203,
329,2797,P,,"Brimeura duvigneaudii (L. Llorens) Rosselló, Mus & Mayol",,,,,,,B,ES0000073,2023,135,np,203,
330,2800,P,,Brimeura fastigiata (Viv.) Chouard,,,,,,,B,ES5310126,2023,135,np,203,
331,2807,P,,Bufonia macropetala Willk.,,,,,,P,A,ES0000014,2023,135,np,203,
332,2820,P,,Bulbostylis cioniana (Savi) Lye,,,,,,P,A,ES0000014,2023,135,np,203,
333,2822,P,,Bunias erucago L.,,,,,,P,D,ES6150005,2023,135,np,203,
334,2832,P,,Bupleurum acutifolium Boiss.,,,200.0,300.0,i,P,"A,D",ES6170004,2023,135,np,203,36.0
335,2833,P,,Bupleurum angulosum L.,,,,,,P,B,ES2410008,2023,135,np,203,
336,2835,P,,Bupleurum barceloi Willk.,,,,,,,A,ES5310105,2023,135,np,203,
337,2847,P,,Bupleurum ranunculoides L.,,,120.0,120.0,i,R,"A,D",ES6140001,2023,135,np,203,36.0
338,2856,P,,Butomus umbellatus L.,,,1.0,1.0,grids10x10,C,D,ES4140136,2023,135,np,203,47.0
339,2858,P,,Buxus balearica Lam.,,,4.0,,localities,P,"A,D",ES6110008,2023,135,np,203,35.0
340,2860,P,,Buxus sempervirens L.,,,370.0,1100.0,i,R,D,ES6140005,2023,135,np,203,36.0
341,2866,P,,Apteranthes europaea (Guss.) Murb.,,,1.0,,localities,P,"A,D",ES6110005,2023,135,np,203,35.0
342,2867,P,,Caralluma munbyana (Munby) N.E. Br.,,,,,,P,D,ES4210008,2023,135,np,203,
343,2873,P,,Cardamine heptaphylla (Vill.) O.E. Schulz,,,,,,P,D,ES2110018,2023,135,np,203,
344,2878,P,,Cardamine parviflora L.,,,1.0,1.0,grids10x10,V,D,ES4150100,2023,135,np,203,47.0
345,2881,P,,Cardamine castellana Lihová & Marhold,,,1.0,1.0,grids10x10,V,"B,D",ES4110020,2023,135,np,203,47.0
346,2886,P,,Cardamine resedifolia L.,,,1.0,1.0,grids10x10,V,D,ES4130035,2023,135,np,203,47.0
347,2896,P,,Carduncellus balearicus,,,,,,R,,ES0000231,2023,135,p,201,
348,2899,P,,Carduncellus dianius Webb,,,,,,,A,ES5211007,2023,135,np,203,
349,2916,P,,Carduus myriacanthus,,,13769.0,13769.0,i,R,,ES6120008,2023,135,p,201,36.0
350,2921,P,,Carduus paui Devesa & Talavera,,,,,,P,D,ES2420037,2023,135,np,203,
351,2922,P,,Carduus platypus Lange,,,,,,P,D,ES4320039,2023,135,np,203,
352,2926,P,,Carduus rivasgodayanus Devesa & Talavera,,,,,,P,"A,B,D",ES6170005,2023,135,np,203,
353,2930,P,,Carex acuta L.,,,,,i,R,"A,D",ES0000049,2023,135,np,203,36.0
354,2933,P,,Carex arenaria L.,,,2.0,2.0,grids10x10,V,D,ES4160106,2023,135,np,203,47.0
355,2935,P,,Carex atrata L.,,,2.0,2.0,grids10x10,V,D,ES4130003,2023,135,np,203,47.0
356,2941,P,,Calamintha grandiflora (L.) Moench,,,,,,P,D,ES0000278,2023,135,np,203,
357,2946,P,,Calamintha rouyana (Briq.) Rouy,,,,,,,B,ES0000073,2023,135,np,203,
358,2965,P,,Callitriche lusitanica Schotsman,,,1.0,1.0,grids10x10,P,A,ES4110097,2023,135,np,203,47.0
359,2966,P,,Callitriche obtusangula Hegelm.,,,,,,P,D,ES6150007,2023,135,np,203,
360,2967,P,,Callitriche palustris L.,,,1.0,1.0,grids10x10,V,"A,D",ES4120092,2023,135,np,203,47.0
361,2969,P,,Callitriche regis-jubae Schotsman,,,,,i,V,D,ES0000049,2023,135,np,203,36.0
362,2974,P,,Calluna vulgaris (L.) Hull,,,,,,P,A,ES0000407,2023,135,np,203,
363,2986,P,,Campanula adsurgens Levier & Leresche,,,1.0,1.0,grids1x1,R,"A,B,D",ES4130038,2023,135,np,203,22.0
364,2988,P,,Campanula primulifolia Brot.,,,587.0,587.0,i,P,"A,D",ES0000051,2023,135,np,203,36.0
365,2996,P,,Campanula fastigiata Schult.,,,1.0,3.0,grids1x1,,D,ES6200046,2023,135,np,203,22.0
366,3001,P,,Campanula latifolia L.,,,1.0,1.0,grids1x1,V,"A,D",ES0000003,2023,135,np,203,22.0
367,3005,P,,Campanula mollis L.,,,75.0,75.0,i,,D,ES5213054,2023,135,np,203,36.0
368,3013,P,,Campanula hispanica Willk.,,,,,,P,D,ES2420038,2023,135,np,203,
369,3015,P,,Campanula semisecta Murb.,,,,,,V,"B,D",ES4230010,2023,135,np,203,
370,3016,P,,Campanula speciosa Pourr.,,,,,,P,B,ES2420036,2023,135,np,203,
371,3033,P,,"Capparis zoharyi Inocencio, D. Rivera, Obón & Alcaraz",,,3.0,3.0,grids1x1,,A,ES6200006,2023,135,np,203,22.0
372,3042,P,,Carduus carlinoides subsp. hispanicus (Kazmi) Franco,,,,,i,P,"B,D",ES6140004,2023,135,np,203,36.0
373,3054,P,,Carex camposii Boiss. & Reut.,,,218.0,3000.0,tufts,C,D,ES6140001,2023,135,np,203,41.0
374,3057,P,,Carex capillaris L.,,,1.0,1.0,grids10x10,R,D,ES0000003,2023,135,np,203,47.0
375,3059,P,,Carex caudata (Kük.) Pereda & M. Laínz,,,,,,V,"B,D",ES2200020,2023,135,np,203,
376,3065,P,,Carex davalliana Sm.,,,,,,P,D,ES4240007,2023,135,np,203,
377,3071,P,,Carex diandra Schrank,,,1.0,1.0,grids10x10,V,"A,D",ES4130035,2023,135,np,203,47.0
378,3077,P,,Carex divulsa Stokes,,,,,,P,D,ES0000398,2023,135,np,203,
379,3081,P,,Carex echinata Murray,,,,,,C,D,ES4240008,2023,135,np,203,
380,3082,P,,Carex elata All.,,,,,,R,D,ES5233030,2023,135,np,203,
381,3087,P,,Carex extensa Gooden.,,,,,,P,D,ES0000048,2023,135,np,203,
382,3091,P,,Carex frigida All.,,,2.0,2.0,grids10x10,R,D,ES4130003,2023,135,np,203,47.0
383,3092,P,,Carex furva Webb,,,,,i,P,"B,D",ES6140004,2023,135,np,203,36.0
384,3095,P,,Carex helodes Link,,,487.0,487.0,i,R,"A,D",ES6180005,2023,135,np,203,36.0
385,3096,P,,Carex hirta L.,,,,,tufts,P,D,ES0000035,2023,135,np,203,41.0
386,3098,P,,Carex hordeistichos Vill.,,,,,,V,D,ES0000130,2023,135,np,203,
387,3099,P,,Carex hostiana DC.,,,1.0,1.0,grids10x10,R,"A,D",ES4120088,2023,135,np,203,47.0
388,3104,P,,Carex laevigata Sm.,,,101.0,101.0,i,R,D,ES6150021,2023,135,np,203,36.0
389,3109,P,,Carex limosa L.,,,1.0,1.0,grids10x10,V,"A,B",ES4120092,2023,135,np,203,47.0
390,3112,P,,Carex macrostyla Lapeyr.,,,,,,P,B,ES0000016,2023,135,np,203,
391,3115,P,,Carex muricata L.,,,,,,P,A,ES0000014,2023,135,np,203,
392,3116,P,,Carex muricata L. subsp. muricata,,,1.0,1.0,grids1x1,V,A,ES4130003,2023,135,np,203,22.0
393,3119,P,,Carex nigra (L.) Reichard,,,,,,C,D,ES4240008,2023,135,np,203,
394,3120,P,,Carex oedipostyla Duval-Jouve,,,,,i,R,"B,D",ES0000049,2023,135,np,203,36.0
395,3124,P,,Carex panicea L.,,,1000.0,1000.0,area,V,D,ES6140001,2023,135,np,203,9.0
396,3130,P,,Carex pilulifera L.,,,,,,P,D,ES4240016,2023,135,np,203,
397,3133,P,,Carex pseudocyperus L.,,,,,,,D,ES6150004,2023,135,np,203,
398,3135,P,,Carex punctata Gaudin,,,1000.0,3000.0,i,V,"A,D",ES0000049,2023,135,np,203,36.0
399,3136,P,,Carex pyrenaica Wahlenb.,,,1.0,1.0,grids10x10,V,D,ES4130003,2023,135,np,203,47.0
400,3137,P,,Carex remota L.,,,,,i,P,D,ES0000051,2023,135,np,203,36.0
401,3139,P,,Carex rorulenta Porta,,,,,,,A,ES5310105,2023,135,np,203,
402,3140,P,,Carex rostrata Stokes,,,,,,P,D,ES2130002,2023,135,np,203,
403,3141,P,,Carex rupestris All.,,,2.0,4.0,grids10x10,R,D,ES4130035,2023,135,np,203,47.0
404,3146,P,,Carex strigosa Huds.,,,,,,R,"A,D",ES2200017,2023,135,np,203,
405,3147,P,,Carex sylvatica Huds.,,,,,,P,D,ES4210008,2023,135,np,203,
406,3152,P,,Carex umbrosa Host,,,,,,P,D,ES0000057,2023,135,np,203,
407,3155,P,,Carex vesicaria L.,,,,,,P,D,ES4240007,2023,135,np,203,
408,3169,P,,Caropsis verticillato-inundata,,,39070.0,103671.0,area,P,,ES0000024,2023,135,p,201,9.0
409,3189,P,,Castanea sativa Mill.,,,,,,P,D,ES0000052,2023,135,np,203,
410,3200,P,,Celtis australis L.,,,1.0,1.0,i,C,D,ES0000035,2023,135,np,203,36.0
411,3212,P,,Centaurea argecillensis Gredilla,,,,,,P,"B,D",ES4240014,2023,135,np,203,
412,3216,P,,Centaurea aspera subsp. scorpiurifolia (Dufour) Nyman,,,,,i,R,"A,D",ES6120008,2023,135,np,203,36.0
413,3218,P,,Centaurea avilae Pau,,,8.0,8.0,grids10x10,C,"A,B,D",ES4110002,2023,135,np,203,47.0
